ID,Title,Client,Source,Status,Geography,Domains,Date Posted,Date Found,Deadline,AI Summary,Description,Notes,Dismissal Reason,Tier,Language,Original URL,Source Listing URL
QLFOFXvBwzOeiT6NvnOK,Development of a Fire Protection Arrangement Project for the Forest Fund of the Khortytsia National Reserve,UNESCO,Prostir.UA,Dismissed,Ukraine,"research, infrastructure, development",2026-06-26,2026-06-27,2026-07-08,"UNESCO is seeking quotations for the development of a fire protection arrangement project for the forest fund of the Khortytsia National Reserve in Zaporizhzhia, Ukraine. The deadline for submitting technical and financial proposals is July 8, 2026.","Dear Vendor, UNESCO invites you to submit your quotation for Request for Quotation Ref. RFQ-UA-26-29 for the Development of a Fire Protection Arrangement Project for the Forest Fund of the Khortytsia National Reserve, located in Zaporizhzhia, Ukraine. To obtain the full set of solicitation documents, please contact: procurement.kyiv@unesco.org Deadline for submission of bids: You are invited to submit your best technical and financial offer to procurement.kyiv@unesco.org no later than 08 July 2026, 17:00 Kyiv time. We thank you for your interest and look forward to receiving your quotation. Best regards / З повагою, Procurement Unit UNESCO Antenna in Ukraine Instytutska 28, Block V, 1st floor, Kyiv procuremenent.kyiv@unesco.org",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=rozroblennya-planu-protypozhezhnoho-oblashtuvannya-lisovoho-fondu-natsionalnoho-zapovidnyka-hortytsya-development-of-a-fire-protection-arrangement-project-for-the-forest-fund-of-the-khortytsia-natio,https://www.prostir.ua/category/jobs/
ST23IEJEqK8vAtJC4LI7,Digital Welfare Project Content Specialist Service Procurement,Toplum Gönüllüleri Vakfı (TOG),AB-İlan,Dismissed,,"digital, technology, data",2026-06-26,2026-06-27,2026-07-03,Toplum Gönüllüleri Vakfı (TOG) is seeking a Content Specialist for its Digital Welfare Project through an invitation to bid. This procurement focuses on acquiring specialized services for content creation and management within the project.,"This tender is for the procurement of services for a Content Specialist for the Digital Welfare Project. The purchasing process is an invitation to bid, posted by Toplum Gönüllüleri Vakfı (TOG).",,Wrong sector / domain,2,tr,https://ab-ilan.com/ihale/dijital-refah-projesi-icerik-uzmani-hizmet-alimi/,https://ab-ilan.com/ngotenders/
Pvy3Yha0oLpMR4BikCuw,CFI – FINAL EVALUATION OF THE MEDIA PARITY PROJECT,"CFI, agence française de développement médias",Coordination SUD,Dismissed,,"evaluation, research",2026-06-05,2026-06-27,2026-06-30,"CFI is seeking proposals for a final evaluation of its ""Media Parity"" project, funded by the French Ministry for Europe and Foreign Affairs. The evaluation will focus on projects implemented in Southern Africa. This is a service procurement opportunity for an external consultancy.","CFI, the French agency for media development, is seeking proposals for the final evaluation of the ""Media Parity"" project, funded by the French Ministry for Europe and Foreign Affairs. This opportunity is relevant for countries in Southern Africa.",,Wrong geography,2,fr,https://www.coordinationsud.org/appel-offre/cfi-final-evaluation-of-the-media-parity-project/,https://www.coordinationsud.org/appels-doffres/
9bRziBS43jrgRMQvojcM,LTA-Implementation of a series of vocational training programs for beneficiaries of international and temporary protection.,IOM,IOM Global,Dismissed,,"training, capacity building, livelihoods, economic recovery",,2026-06-27,,IOM is seeking proposals for the implementation of vocational training programs targeting beneficiaries of international and temporary protection. This initiative aims to facilitate the integration of third-country nationals into the labor market through skills development and training.,IOM invites proposals for the implementation of vocational training programs for beneficiaries of international and temporary protection. This initiative is part of several projects aimed at integrating third-country nationals into the labor market.,,Wrong sector / domain,2,en,https://www.iom.int/lta-implementation-series-vocational-training-programs-beneficiaries-international-and-temporary-protection,https://www.iom.int/procurement-opportunities
8nk7OFwTrDkjhvyb3hvW,Eastern Black Sea Development Agency Lean Transformation Technical Support Program Announced,Doğu Karadeniz Kalkınma Ajansı,AB-İlan,Dismissed,,"capacity building, training, technical assistance",,2026-06-27,,The Eastern Black Sea Development Agency has launched a Lean Transformation Technical Support Program. This initiative aims to provide technical assistance for lean transformation processes within the region. Further details on the program's scope and application are expected.,The Eastern Black Sea Development Agency has launched a Lean Transformation Technical Support Program. This initiative aims to provide technical assistance for lean transformation processes within the region. Further details on the program's scope and application are expected.,,Wrong sector / domain,2,tr,https://ab-ilan.com/dogu-karadeniz-kalkinma-ajansi-yalin-donusum-teknik-destek-programi-ilan-edildi/,https://ab-ilan.com/ngotenders/
0fF6aOlozQ7yW3OQoudT,BLUMONT - Rehabilitation and Construction of Three Water Station in Deir Ezzor,BLUMONT,NGOs-Jobs/Bids,Dismissed,Deir Ezzor,"infrastructure, Development",2026-06-25,2026-06-27,2026-07-07,"BLUMONT is seeking bids for the rehabilitation and construction of three water stations located in Deir Ezzor. The submission deadline for offers is July 7, 2026. This opportunity involves infrastructure development with a service component.","BLUMONT is seeking bids for the rehabilitation and construction of three water stations located in Deir Ezzor. The submission deadline for offers is July 7, 2026. This opportunity involves infrastructure development with a service component.",,Grant / Goods,2,en,https://ngosjobs-bids.com/index.php/bids/5988-njb5988-blumont-rehabilitation-and-construction-of-three-water-station-in-deir-ezzor,https://ngosjobs-bids.com/index.php/bids
G2hKTzABcpYOeXwJvEr0,Call for Proposals from Tea Sector Organizations to Implement Child Labour Prevention and Elimination Programmes in Kenya,International Labour Organization,ReliefWeb,Dismissed,,"child labour, child labour",2026-06-26,2026-06-27,2026-07-03,"The International Labour Organization (ILO) is issuing a Call for Proposals to tea sector organizations for implementing child labour prevention and elimination programs. This initiative addresses the global challenge of child labour, particularly its prevalence in Sub-Saharan Africa and the agricultural sector, aiming to combat hazardous work and protect children's health, safety, and development.","International Labour Organization: Background Information Child labour continues to be a pervasive global challenge. According to the latest joint estimates released by the International Labour Organization (ILO) and UNICEF, approximately 138 million children were engaged in child labour in 2024, including around 54 million in hazardous work that jeopardizes their health, safety, and development. Despite this representing a reduction of over 20 million children since 2020, the world has missed the target of eliminating child labour by 2025. Sub-Saharan Africa remains the region most affected, accounting for nearly two-thirds of children in child labour globally. Agriculture continues to be the dominant sector for child labour, underscoring the ongoing challenges in rural economies and the urgent need for sustained act",,Wrong sector / domain,1,en,https://reliefweb.int/job/4218062/call-proposals-tea-sector-organizations-implement-child-labour-prevention-and-elimination-programmes-kenya,https://reliefweb.int/jobs
458RXmmnWqrAvdqO6HlN,Re-announcement of tender for the procurement of case management services for families in difficult life circumstances in Kryvyi Rih,Благодійна організація «Благодійний Фонд «Рідні»,Prostir.UA,Dismissed,,"protection, humanitarian, Conflict-affected communities, Vulnerable Populations, Marginalised Groups, Psychosocial Support, MHPSS, Do No Harm",2026-06-25,2026-06-26,,"The Charitable Foundation ""Ridni"" is re-announcing a tender to procure case management services for families facing difficult life circumstances in Kryvyi Rih. This service is part of a project aimed at providing comprehensive protection to civilians affected by hostilities and enhancing the resilience of first responders, supported by the U.S. Government.","Charitable organization ""Charitable Foundation ""Ridni"""" re-announces a tender for the procurement of case management services for families in difficult life circumstances within the framework of the Project ""Comprehensive services for the protection of civilians affected by hostilities and improving the resilience skills of first responders"" in Kryvyi Rih. The project is implemented thanks to the generous support of the Government of the United States [....]",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=pereoholoshennya-tenderu-na-zakupivlyu-posluh-z-nadannya-kejs-menedzhmentu-dlya-simej-yaki-perebuvayut-u-skladnyh-zhyttjevyh-obstavynah-u-m-kryvyj-rih,https://www.prostir.ua/category/jobs/
82cdg4VIGD1h78Lew2fv,Extended tender for the selection of a logistics service provider for the organization and conduct of an event,"Public Union ""Network of Civil Society Hubs of Ukraine""",Prostir.UA,Dismissed,"Ukraine, Ukrainian","logistics, event management, capacity building, training, humanitarian, governance, development, Community Perception, Stakeholder Mapping, Methodology",2026-06-25,2026-06-26,,"This is an extended tender seeking a logistics service provider to organize and conduct an event in Ukraine. The tender is part of the ""Civic Participation and Intersectoral Partnership in Ukrainian Communities"" project, supported by UNDP Ukraine.","TECHNICAL SPECIFICATION FOR THE SELECTION OF A LOGISTICS SERVICE PROVIDER FOR THE ORGANIZATION AND CONDUCT OF AN EVENT Public Union ""Network of Civil Society Hubs of Ukraine"" (hereinafter - the Customer) is extending the tender for the selection of a logistics service provider for the organization and conduct of an event. The tender is conducted within the framework of the Project ""Civic Participation and Intersectoral Partnership in Ukrainian Communities"" (hereinafter - the Project) with the support of the UNDP in Ukraine [… ]",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=prodovzheno-tender-na-vidbir-nadavacha-lohistychnyh-posluh-z-orhanizatsiji-ta-provedennya-zahodu,https://www.prostir.ua/category/jobs/
2pfBAwSAElIUvhp5tZ3U,"Tender for the conclusion of a one-time contract for repair work at the ""Serbivska Gymnasium"" MTP - extended",Громадська організація «ДЕСЯТЕ КВІТНЯ»,Prostir.UA,Dismissed,Ukraine,"infrastructure, shelter, displacement, refugee, IDP, Internally Displaced Persons, Returnees, Host Communities",2026-06-25,2026-06-26,,"This tender is for repair work at the ""Serbivska Gymnasium"" MTP in Ukraine, as part of a project providing housing and services to vulnerable evacuated individuals and IDPs. The contract is for a one-time agreement, and price proposals are invited.","The public organization ""APRIL TENTH"" within the framework of the project ""Providing safe, decent and accessible housing and specialized services for the most vulnerable evacuated persons and IDPs with limited mobility in Odesa and Mykolaiv regions"", invites to submit price proposals for the conclusion of a one-time contract for repair work at the ""Serbivska Gymnasium"" MTP at Shkilnyi Lane, 1, Serbiv village, Podilskyi district, [...]",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=tender-na-ukladennya-razovoho-dohovoru-na-provedennya-remontnyh-robit-v-mtp-serbivska-himnaziya-prodovzheno-2,https://www.prostir.ua/category/jobs/
8oruxg6yjrFerL06cnqO,Tender (price proposal evaluation) for logistics support services for an event,Всеукраїнська благодійна організація «КОНВІКТУС УКРАЇНА»,Prostir.UA,Dismissed,Ukraine,humanitarian,2026-06-25,2026-06-26,,"This tender is for logistics support services for an event, issued by the All-Ukrainian Charitable Organization ""CONVICTUS UKRAINE"". The organization has extensive experience in public health, humanitarian aid, and social support within Ukraine.","All-Ukrainian Charitable Organization ""CONVICTUS UKRAINE"" – a non-governmental organization operating in Ukraine since 2006 and part of the international network Convictus, which operates in Sweden, Estonia, and Ukraine. The organization has over 18 years of experience implementing programs in public health, humanitarian aid, and social support in cooperation with government institutions, national and international partners. [...]",,Wrong sector / domain,1,uk,https://www.prostir.ua/?grants=konkursni-torhy-otsinka-tsinovyh-propozytsij-na-posluhy-z-materialno-tehnichnoho-suprovodu-zahodu,https://www.prostir.ua/category/jobs/
UZsWTdctuij1fcxlLOCF,10030843-Support in development of Long Term Low Emissions Development Strategy (LT LEDS) of Moldova,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ,Dismissed,Moldova,"climate, Development",2026-06-24,2026-06-26,2026-08-03,"This tender from GIZ seeks support in developing Moldova's Long Term Low Emissions Development Strategy (LT-LEDS). The consultancy will focus on strategy development related to low emissions, aligning with climate and development goals.",Support in the development of Moldova's Long Term Low Emissions Development Strategy (LT-LEDS). This UVgO Ausschreibung is from Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.,,Wrong sector / domain,2,de,https://ausschreibungen.giz.de/Satellite/public/company/projectForwarding.do?pid=51304,https://ausschreibungen.giz.de/Satellite/company/welcome.do
FEMy1TP5rIJyaWuLOCIR,"10033400-CONNEX Support to the Government of the Islamic Republic of Mauritania: Geotechnical, engineering and social-environmental expertise for gH2 negotiations",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ,Dismissed,,"research, governance, infrastructure, Methodology",2026-06-24,2026-06-26,2026-07-09,"This tender from GIZ seeks geotechnical, engineering, and social-environmental expertise to support the Government of Mauritania in gH2 negotiations. The consultancy will provide specialized knowledge to aid in these critical discussions.","CONNEX Support to the Government of the Islamic Republic of Mauritania, providing geotechnical, engineering, and social-environmental expertise for gH2 negotiations. This UVgO Ausschreibung is from Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.",,Wrong sector / domain,2,de,https://ausschreibungen.giz.de/Satellite/public/company/projectForwarding.do?pid=51309,https://ausschreibungen.giz.de/Satellite/company/welcome.do
Gslt34XURS228EWETus9,"10019505-Endline Project Evaluation ""Sustainable Development of the Mining Sector in Rwanda""",Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ,Dismissed,,"evaluation, Endline, End-line, End-line Assessment, End-line Evaluation, Impact Assessment",2026-06-25,2026-06-26,2026-07-16,This is a tender for an endline project evaluation focusing on the sustainable development of the mining sector in Rwanda. The evaluation will assess the project's impact and outcomes. The tender is issued by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.,"Endline project evaluation for the ""Sustainable Development of the Mining Sector in Rwanda"". This UVgO Ausschreibung is posted by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.",,Wrong geography,2,de,https://ausschreibungen.giz.de/Satellite/public/company/projectForwarding.do?pid=51316,https://ausschreibungen.giz.de/Satellite/company/welcome.do
PDPQMlqfNSciDkWNCKBG,10010332-Integrated Technical Assistance to the Ministry of Labour under Labour Market Access Project II (LMAP II),Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ,Dismissed,,"Livelihoods, Labour Market Assessment",2026-06-25,2026-06-26,2026-07-27,This tender from GIZ seeks integrated technical assistance for the Ministry of Labour under the Labour Market Access Project II (LMAP II). The focus is on providing expert support to enhance labour market access through the Ministry's operations.,Integrated technical assistance to the Ministry of Labour under the Labour Market Access Project II (LMAP II). This VgV TNW tender is from Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.,,Wrong sector / domain,2,de,https://ausschreibungen.giz.de/Satellite/public/company/projectForwarding.do?pid=51294,https://ausschreibungen.giz.de/Satellite/company/welcome.do
B2gUhI9SUFj4DHC8OzQN,Development of a Regional Ramsar Strategy for Central Asia,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,GIZ,Dismissed,,"research, governance, climate, infrastructure, development",2026-06-25,2026-06-26,2026-07-10,This tender seeks the development of a Regional Ramsar Strategy for Central Asia. The contract is being issued by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH. The strategy will likely focus on wetland conservation and management within the region.,Development of a Regional Ramsar Strategy for Central Asia. This UVgO tender is posted by Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH.,,Wrong sector / domain,2,de,https://ausschreibungen.giz.de/Satellite/public/company/projectForwarding.do?pid=51335,https://ausschreibungen.giz.de/Satellite/company/welcome.do
2J0UCp5uACyu0KeIGWcR,Social and Behavior Change Consultant – Health,UNICEF,Darpe,Dismissed,,"capacity building, training, research, assessment, consultancy",2026-06-25,2026-06-26,2026-07-02,"This is a consultancy opportunity with UNICEF for a Social and Behavior Change Consultant specializing in Health. The deadline for submission is July 2, 2026. This role involves providing expert consultation on health-related behavior change strategies.","This is a consultancy opportunity with UNICEF for a Social and Behavior Change Consultant specializing in Health. The deadline for submission is July 2, 2026. This role involves providing expert consultation on health-related behavior change strategies.",,Wrong sector / domain,2,en,https://darpe.me/darpe-entries/social-and-behavior-change-consultant-health/,https://darpe.me/tenders-and-grants/
PYvdzE1CcJhaU3f0suH6,Request for Bid REF# BIS-HVT-RFB-0048 for Rehabilitation and Construction of Drinking Water Supply Systems and Irrigation Canals in Batken region - Kyrgyzstan.,Mercy Corps,Mercy Corps,Dismissed,,"infrastructure, WASH",,2026-06-26,2026-07-15,"This is a Request for Bid (RFB) for the rehabilitation and construction of drinking water supply systems and irrigation canals in the Batken region of Kyrgyzstan. The tender period is from June 25, 2026, to July 15, 2026.","This is a Request for Bid (RFB) for the rehabilitation and construction of drinking water supply systems and irrigation canals in the Batken region of Kyrgyzstan. The tender is open from June 25, 2026, to July 15, 2026.",,Grant / Goods,2,en,https://www.mercycorps.org/tenders/request-bid-ref-bis-hvt-rfb-0048-rehabilitation-and-construction-drinking-water-supply,https://www.mercycorps.org/tenders
JjtQmGT5tw9qQVlk7KjQ,"Implementing a final evaluation of the Water, Land and Agricultural Roads Investment Program",Taawon,Darpe,Dismissed,,"evaluation, Monitoring and evaluation, Agriculture, Water, WASH",2026-06-25,2026-06-26,2026-07-07,"Taawon is seeking services to conduct a final evaluation of their Water, Land and Agricultural Roads Investment Program. The evaluation will cover the program's activities in Agriculture, Water and Wastewater, and Monitoring and Evaluation within Palestine.","Taawon is looking for services to implement a final evaluation of the Water, Land and Agricultural Roads Investment Program. The scope includes Agriculture, Water and Wastewater, and Monitoring and evaluation in Palestine.",,Wrong geography,2,en,https://darpe.me/darpe-entries/implementing-a-final-evaluation-of-the-water-land-and-agricultural-roads-investment-program/,https://darpe.me/tenders-and-grants/
GgeaDXTuCUTM1Xeqv4ou,Lead Coach – Community Organizing (COM),Women Now for Development,ReliefWeb,Dismissed,"Northeast Syria, Northwest Syria","protection, gender, capacity building, training, governance, Conflict-affected communities, Vulnerable Populations, Marginalised Groups, Gender Analysis, Gender Mainstreaming, Do No Harm, Methodology, Community Perception Studies, Community Perception",2026-06-25,2026-06-26,2026-07-08,"Women Now for Development is seeking a Lead Coach for Community Organizing to work on a project focused on building survivor-led protection systems against violence against women and girls in North Syria. This is a two-year renewable framework agreement contract, with work potentially being remote and/or field-based in Northwest and Northeast Syria. The deadline for applications is July 8, 2026.","Women Now for Development: The ""Women Now for Development"" organization announces its desire to contract with: Lead Coach in Community Organizing ""Power in Our Hands!"" – Building Survivor-Led Protection Systems to Prevent Violence Against Women and Girls in North Syria. Framework agreement based on daily work cost, without commitment to a specific number of working days. Remote and/or field in Northwest and Northeast Syria, depending on access and security conditions. Two years, renewable, with intensive participation during the core project phases. Application Deadline: 3:00 PM Berlin – Germany time. Contract terms can be viewed by following the link below",,Wrong sector / domain,1,en,https://reliefweb.int/job/4217755/lead-coach-community-organizing-com,https://reliefweb.int/jobs
8O5WNAsbacF5A9HD5UFi,Consultant for ICSP Syria Learning Initiative on Integrated Programming,Trócaire,ReliefWeb,Dismissed,Syria,"livelihoods, protection, social cohesion, research, capacity building",2026-06-25,2026-06-26,2026-07-02,Trócaire is seeking a consultant to support a learning initiative focused on integrated programming within their five-year Ireland Civil Society Partnership (ICSP) program in Syria. This initiative aims to strengthen approaches that address intersecting vulnerabilities and improve pathways between different sectors of their multi-sectoral response.,"Trócaire: 1. Background Trócaire received funding from Irish Aid under the five-year Ireland Civil Society Partnership (ICSP – 2023-2027) funding scheme to implement a programme in Syria. The program supports crisis-affected communities through a multi-sectoral response in a complex and protracted context. Programming has included basic assistance, livelihoods and early recovery, protection and referral pathways, and social cohesion, implemented through local partners and in coordination with relevant stakeholders. As part of its strategic direction, Trócaire is seeking to strengthen integrated programming approaches that better respond to intersecting vulnerabilities and support more coherent pathways between sectors. The Syria programme has generated implementation experience over recent year",,Wrong sector / domain,1,en,https://reliefweb.int/job/4217791/consultant-icsp-syria-learning-initiative-integrated-programming,https://reliefweb.int/jobs
